CURAND normal RNG  execution time (ms): 0.393216,  samples/sec: 1.627604e+07 
Monte Carlo kernel execution time (ms): 0.026624 
 n,  x  =  0  4.046739 
 n,  x  =  1  4.047523 
 n,  x  =  2  4.044582 
 n,  x  =  3  4.078621 
 n,  x  =  4  4.100868 
 n,  x  =  5  4.118468 
 n,  x  =  6  4.110689 
 n,  x  =  7  4.082592 
 n,  x  =  8  4.115425 
 n,  x  =  9  4.164633 
 n,  x  =  10  4.184431 
 n,  x  =  11  4.178072 
 n,  x  =  12  4.260489 
 n,  x  =  13  4.203560 
 n,  x  =  14  4.188564 
 n,  x  =  15  4.200521 
 n,  x  =  16  4.180630 
 n,  x  =  17  4.195120 
 n,  x  =  18  4.192927 
 n,  x  =  19  4.171082 
 n,  x  =  20  4.149245 
 n,  x  =  21  4.157484 
 n,  x  =  22  4.167730 
 n,  x  =  23  4.179279 
 n,  x  =  24  4.129964 
 n,  x  =  25  4.118069 
 n,  x  =  26  4.117760 
 n,  x  =  27  4.130691 
 n,  x  =  28  4.099211 
 n,  x  =  29  4.075397 
 n,  x  =  30  4.088070 
 n,  x  =  31  4.050674 
 n,  x  =  32  3.447277 
 n,  x  =  33  3.576100 
 n,  x  =  34  3.584653 
 n,  x  =  35  3.558893 
 n,  x  =  36  3.558311 
 n,  x  =  37  3.525016 
 n,  x  =  38  3.580410 
 n,  x  =  39  3.566146 
 n,  x  =  40  3.575521 
 n,  x  =  41  3.564617 
 n,  x  =  42  3.518942 
 n,  x  =  43  3.547041 
 n,  x  =  44  3.543563 
 n,  x  =  45  3.584722 
 n,  x  =  46  3.578551 
 n,  x  =  47  3.573988 
 n,  x  =  48  3.583524 
 n,  x  =  49  3.589207 
 n,  x  =  50  3.586819 
 n,  x  =  51  3.595841 
 n,  x  =  52  3.598881 
 n,  x  =  53  3.589987 
 n,  x  =  54  3.590046 
 n,  x  =  55  3.566334 
 n,  x  =  56  3.590121 
 n,  x  =  57  3.591382 
 n,  x  =  58  3.560839 
 n,  x  =  59  3.563035 
 n,  x  =  60  3.550695 
 n,  x  =  61  3.525870 
 n,  x  =  62  3.560082 
 n,  x  =  63  3.545407 
